cell-id,cell-label,number-points,CM-0,CM-1,cluster-label,qty-cells-cluster-greater-equal-3
0,0,2,0.540441,0.688596,0,12
2,2,1,0.476471,0.696491,2,6
3,3,3,0.484804,0.718713,2,6
4,4,2,0.458824,0.75,2,6
5,5,1,0.482353,0.754386,2,6
6,6,1,0.514706,0.714035,2,6
7,7,3,0.551961,0.726316,0,12
8,8,2,0.522059,0.744737,0,12
9,9,1,0.533824,0.752632,0,12
10,10,2,0.484559,0.77807,2,6
15,15,2,0.555147,0.820175,0,12
16,16,2,0.552941,0.779825,0,12
17,17,2,0.5875,0.777193,0,12
18,18,2,0.586029,0.802632,0,12
21,21,3,0.581863,0.749708,0,12
22,22,2,0.5875,0.712281,0,12
26,26,2,0.624265,0.752632,0,12
27,27,1,0.614706,0.770175,0,12
30,30,1,0.336765,0.942105,13,5
31,31,2,0.316176,0.951754,13,5
32,32,2,0.311765,0.92193,13,5
35,35,2,0.282353,0.915789,13,5
36,36,2,0.272059,0.948246,13,5
41,41,2,0.244118,0.919298,20,36
43,43,2,0.220588,0.911404,20,36
48,48,3,0.253922,0.821637,26,7
50,50,2,0.222059,0.815789,26,7
52,52,1,0.186765,0.880702,20,36
53,53,2,0.183824,0.913158,20,36
55,55,2,0.155882,0.90614,20,36
56,56,4,0.150368,0.88114,20,36
57,57,1,0.126471,0.908772,20,36
58,58,2,0.114706,0.883333,20,36
59,59,2,0.182353,0.849123,20,36
60,60,1,0.164706,0.847368,20,36
62,62,2,0.183824,0.812281,20,36
63,63,3,0.24951,0.774854,26,7
64,64,1,0.222059,0.773684,26,7
65,65,2,0.186029,0.776316,20,36
66,66,2,0.145588,0.782456,20,36
67,67,3,0.110784,0.811111,20,36
68,68,3,0.111765,0.843275,20,36
69,69,4,0.076838,0.852193,20,36
72,72,1,0.052941,0.826316,20,36
74,74,1,0.129412,0.798246,20,36
75,75,3,0.080392,0.779532,20,36
79,79,2,0.046324,0.750877,20,36
80,80,2,0.114706,0.750877,20,36
81,81,2,0.151471,0.747368,20,36
82,82,2,0.082353,0.740351,20,36
87,87,3,0.07598,0.652047,40,4
