time-stamp,epsilon,minPts,clusters,type,FM
18/11/2017 Sat 15:47:1618/11/2017 Sat 15:49:00,0.2000,035,000,c,1.00000
18/11/2017 Sat 15:51:54,0.2000,035,006,c,1.00000
18/11/2017 Sat 15:53:17,0.0900,016,132,c,0.94815
18/11/2017 Sat 15:54:19,0.0900,016,6,p,0.99920
19/11/2017 Sun 15:11:23,0.0900,016,6,p,0.99920
19/11/2017 Sun 15:12:11,0.0900,016,132,c,0.94737
19/11/2017 Sun 15:13:52,0.1800,035,6,p,1.00000
19/11/2017 Sun 15:14:13,0.1800,035,6,c,1.00000
19/11/2017 Sun 15:19:39,0.0900,016,6,p,0.99920
19/11/2017 Sun 15:21:24,0.1800,035,6,c,1.00000
20/11/2017 Mon 13:25:40,0.0900,016,6,p,0.99920
20/11/2017 Mon 13:26:32,0.1800,035,6,c,1.00000
20/11/2017 Mon 14:49:08,0.1800,035,1,c,1.00000
20/11/2017 Mon 14:54:39,0.0080,004,57,p,0.39822
20/11/2017 Mon 14:56:29,0.0150,017,6,p,0.41043
20/11/2017 Mon 14:58:30,0.0150,017,6,p,0.41043
20/11/2017 Mon 14:59:31,0.0200,017,6,p,0.48226
20/11/2017 Mon 15:00:28,0.0200,025,6,p,0.41370
20/11/2017 Mon 15:02:47,0.0200,025,6,p,0.95790
20/11/2017 Mon 15:04:33,0.0200,025,63,c,0.91917
20/11/2017 Mon 15:05:31,0.0250,040,4,c,0.83169
20/11/2017 Mon 15:05:52,0.0250,050,6,c,0.95767
20/11/2017 Mon 15:10:00,0.0200,025,6,p,0.95790
20/11/2017 Mon 15:10:26,0.0250,050,6,c,0.95767
20/11/2017 Mon 15:12:21,0.0200,025,6,p,0.95790
20/11/2017 Mon 15:12:42,0.0250,050,6,c,0.95767
20/11/2017 Mon 15:41:57,0.0200,025,6,p,0.95790
20/11/2017 Mon 15:42:32,0.0250,050,6,c,0.95767
20/11/2017 Mon 23:45:38,0.0250,050,6,p,0.95556
20/11/2017 Mon 23:46:00,0.0250,050,6,c,0.95767
20/11/2017 Mon 23:47:23,0.0200,025,6,p,0.95790
20/11/2017 Mon 23:48:09,0.0250,050,6,c,0.95767
25/11/2017 Sat 03:08:40,0.0200,025,6,p,0.95790,0.17115,0.91898
25/11/2017 Sat 03:09:24,0.0250,050,6,c,0.95767,0.16989,0.91865
