time-stamp,epsilon,minPts,clusters,type,FM
21/11/2017 Tue 00:21:24,0.0400,030,1,p,0.37134
21/11/2017 Tue 00:22:09,0.0400,020,1,p,0.37099
21/11/2017 Tue 00:22:38,0.0200,020,6,p,0.42880
21/11/2017 Tue 00:23:03,0.0200,050,9,p,0.35219
21/11/2017 Tue 00:23:36,0.0200,025,18,p,0.68137
21/11/2017 Tue 00:24:10,0.0200,023,11,p,0.59478
21/11/2017 Tue 00:24:50,0.0210,023,9,p,0.54870
21/11/2017 Tue 00:25:31,0.0215,025,9,p,0.45773
21/11/2017 Tue 00:26:07,0.0220,025,9,p,0.45728
21/11/2017 Tue 00:26:58,0.0200,025,18,p,0.68137
21/11/2017 Tue 00:27:53,0.0200,025,164,c,0.18863
21/11/2017 Tue 00:28:26,0.0400,025,42,c,0.44223
21/11/2017 Tue 00:29:02,0.0400,030,41,c,0.44630
21/11/2017 Tue 00:29:29,0.0400,035,37,c,0.45579
21/11/2017 Tue 00:29:53,0.0400,040,35,c,0.44506
21/11/2017 Tue 00:30:21,0.0400,037,36,c,0.44998
21/11/2017 Tue 00:30:48,0.0410,037,28,c,0.42537
21/11/2017 Tue 00:31:24,0.0420,037,22,c,0.46978
21/11/2017 Tue 00:31:52,0.0440,037,9,c,0.68066
21/11/2017 Tue 00:32:28,0.0445,037,6,c,0.49051
21/11/2017 Tue 00:33:26,0.0440,037,9,c,0.68066
