hour,trip_seconds
0.391304,0.071518
0.782609,0.109159
0.826087,0.139272
0.434783,0.116688
0.521739,0.154329
0.434783,0.086575
0.434783,0.252196
0.391304,0.094103
0.695652,0.086575
0.434783,0.071518
0.695652,0.056462
0.652174,0.033877
0.217391,0.101631
0.521739,0.207026
0.260870,0.131744
0.913043,0.086575
0.217391,0.079046
0.260870,0.079046
0.565217,0.056462
0.608696,0.116688
0.478261,0.079046
0.608696,0.071518
0.565217,0.041405
0.826087,0.033877
0.565217,0.176913
0.869565,0.018821
0.130435,0.048934
0.434783,0.086575
0.695652,0.086575
0.173913,0.041405
0.217391,0.086575
0.304348,0.079046
0.478261,0.056462
0.739130,0.063990
0.565217,0.094103
0.695652,0.124216
0.608696,0.048934
0.478261,0.026349
0.434783,0.056462
0.739130,0.063990
0.217391,0.079046
0.347826,0.139272
0.434783,0.131744
0.000000,0.116688
0.478261,0.041405
0.782609,0.086575
0.608696,0.041405
0.217391,0.131744
0.695652,0.071518
0.652174,0.094103
0.869565,0.063990
0.565217,0.116688
0.304348,0.086575
0.695652,0.041405
0.086957,0.244668
0.521739,0.041405
0.695652,0.101631
0.217391,0.116688
0.565217,0.222083
0.130435,0.041405
0.173913,0.041405
0.956522,0.033877
0.739130,0.124216
0.217391,0.086575
0.608696,0.033877
0.608696,0.041405
0.391304,0.063990
0.826087,0.033877
0.173913,0.094103
0.304348,0.086575
0.217391,0.154329
0.217391,0.018821
0.608696,0.041405
0.652174,0.048934
0.260870,0.139272
0.260870,0.048934
0.391304,0.154329
0.521739,0.018821
0.260870,0.041405
0.347826,0.063990
0.391304,0.026349
0.478261,0.056462
0.695652,0.071518
0.434783,0.003764
1.000000,0.056462
0.260870,0.094103
0.608696,0.063990
0.347826,0.094103
0.826087,0.033877
0.652174,0.033877
0.043478,0.041405
0.217391,0.124216
0.347826,0.048934
0.695652,0.161857
0.478261,0.011292
0.608696,0.071518
0.608696,0.169385
0.304348,0.033877
0.956522,0.071518
0.478261,0.026349
0.695652,0.056462
0.521739,0.101631
0.826087,0.154329
0.434783,0.033877
0.347826,0.033877
0.565217,0.018821
0.826087,0.071518
0.478261,0.071518
0.565217,0.079046
0.652174,0.222083
0.695652,0.041405
0.652174,0.056462
0.173913,0.018821
1.000000,0.154329
0.478261,0.071518
0.260870,0.063990
0.391304,0.018821
0.217391,0.101631
0.347826,0.063990
0.826087,0.131744
0.739130,0.041405
0.086957,0.229611
0.304348,0.018821
0.565217,0.056462
0.173913,0.011292
0.782609,0.048934
0.434783,0.086575
0.608696,0.259724
0.956522,0.124216
0.478261,0.026349
0.695652,0.086575
0.608696,0.124216
0.521739,0.124216
0.260870,0.086575
0.913043,0.116688
0.347826,0.048934
0.304348,0.063990
0.478261,0.071518
0.565217,0.304893
0.652174,0.139272
0.608696,0.071518
0.391304,0.056462
0.304348,0.041405
0.826087,0.026349
0.260870,0.146801
0.608696,0.048934
0.521739,0.109159
0.652174,0.094103
0.391304,0.041405
0.391304,0.041405
0.304348,0.048934
0.521739,0.056462
0.478261,0.056462
0.652174,0.079046
0.478261,0.063990
0.130435,0.041405
0.521739,0.154329
0.130435,0.079046
0.652174,0.169385
0.391304,0.048934
0.608696,0.033877
0.565217,0.252196
0.217391,0.109159
0.695652,0.154329
0.652174,0.033877
0.391304,0.048934
0.217391,0.056462
0.217391,0.026349
0.695652,0.063990
0.130435,0.094103
0.695652,0.184442
0.304348,0.056462
0.478261,0.056462
0.478261,0.033877
0.608696,0.079046
0.478261,0.026349
0.565217,0.041405
0.434783,0.109159
0.782609,0.184442
0.347826,0.063990
0.826087,0.033877
0.217391,0.026349
0.173913,0.041405
0.391304,0.056462
