id,Label,Number_Points,Coord-0,Coord-1,hour,trip_seconds
0,0,18,9,1,0.391304,0.064408
1,1,8,18,2,0.782609,0.104454
2,2,5,19,3,0.826087,0.142284
3,3,10,10,2,0.434783,0.095609
4,4,4,12,3,0.521739,0.150565
5,5,2,10,6,0.434783,0.259724
6,6,8,9,2,0.391304,0.098808
7,7,10,16,2,0.695652,0.096361
8,8,11,10,1,0.434783,0.063306
9,9,25,16,1,0.695652,0.061882
10,10,12,15,0,0.652174,0.030740
11,11,12,5,2,0.217391,0.104141
12,12,3,12,4,0.521739,0.191970
13,13,4,6,3,0.260870,0.144918
14,14,4,21,2,0.913043,0.103513
15,15,15,5,1,0.217391,0.060477
16,16,15,6,1,0.260870,0.063990
17,17,19,13,1,0.565217,0.065179
18,18,10,14,2,0.608696,0.112923
19,19,20,11,1,0.478261,0.062484
20,20,20,14,1,0.608696,0.060226
21,21,7,13,0,0.565217,0.034953
22,22,7,19,0,0.826087,0.030651
23,23,2,13,4,0.565217,0.173149
24,24,7,20,0,0.869565,0.024198
25,25,8,3,1,0.130435,0.056462
26,26,18,4,0,0.173913,0.031786
27,27,17,7,1,0.304348,0.060890
28,28,10,17,1,0.739130,0.060979
29,29,12,13,2,0.565217,0.106650
30,30,17,11,0,0.478261,0.029449
31,31,2,8,3,0.347826,0.135508
32,32,4,10,3,0.434783,0.143036
33,33,2,0,2,0.000000,0.101631
34,34,14,14,0,0.608696,0.033877
35,35,3,5,3,0.217391,0.149310
36,36,9,15,2,0.652174,0.098285
37,37,5,20,1,0.869565,0.068507
38,38,14,7,2,0.304348,0.097329
39,39,13,16,0,0.695652,0.033298
40,40,4,2,5,0.086957,0.239021
41,41,7,12,0,0.521739,0.033877
42,42,2,13,5,0.565217,0.233375
43,43,12,3,0,0.130435,0.030113
44,44,5,22,0,0.956522,0.030866
45,45,11,17,2,0.739130,0.100262
46,46,13,4,2,0.173913,0.101052
47,47,14,5,0,0.217391,0.027424
48,48,19,15,1,0.652174,0.060820
49,49,4,9,3,0.391304,0.141154
50,50,13,6,0,0.260870,0.032140
51,51,11,8,1,0.347826,0.057831
52,52,13,9,0,0.391304,0.035035
53,53,11,10,0,0.434783,0.028402
54,54,2,24,1,1.000000,0.063990
55,55,5,6,2,0.260870,0.094103
56,56,7,8,2,0.347826,0.094103
57,57,1,1,0,0.043478,0.041405
58,58,6,16,3,0.695652,0.146801
59,59,5,14,4,0.608696,0.182936
60,60,10,7,0,0.304348,0.033877
61,61,2,22,1,0.956522,0.071518
62,62,15,12,2,0.521739,0.104141
63,63,8,8,0,0.347826,0.037641
64,64,9,19,1,0.826087,0.068172
65,65,1,15,5,0.652174,0.222083
66,66,1,24,3,1.000000,0.154329
67,67,17,17,0,0.739130,0.032549
68,68,9,18,1,0.782609,0.058971
69,69,4,14,6,0.608696,0.272898
70,70,4,22,2,0.956522,0.111041
71,71,1,13,7,0.565217,0.304893
72,72,7,15,3,0.652174,0.146801
73,73,12,12,1,0.521739,0.060226
74,74,2,15,4,0.652174,0.173149
75,75,1,13,6,0.565217,0.252196
76,76,5,3,2,0.130435,0.092597
77,77,2,16,4,0.695652,0.184442
78,78,2,18,4,0.782609,0.188206
79,79,3,7,4,0.304348,0.179423
80,80,2,6,5,0.260870,0.229611
81,81,1,13,9,0.565217,0.380176
82,82,1,0,0,0.000000,0.026349
83,83,7,18,0,0.782609,0.034953
84,84,16,4,1,0.173913,0.061637
85,85,3,3,3,0.130435,0.151819
86,86,1,17,5,0.739130,0.222083
87,87,4,24,2,1.000000,0.095985
88,88,3,2,0,0.086957,0.016311
89,89,1,20,4,0.869565,0.169385
90,90,1,1,4,0.043478,0.176913
91,91,1,11,3,0.478261,0.146801
92,92,1,17,4,0.739130,0.184442
93,93,1,15,9,0.652174,0.387704
94,94,6,13,3,0.565217,0.146801
95,95,1,16,5,0.695652,0.222083
96,96,5,21,1,0.913043,0.068507
97,97,1,4,4,0.173913,0.169385
98,98,9,11,2,0.478261,0.100795
99,99,8,14,3,0.608696,0.143036
100,100,2,9,5,0.391304,0.233375
101,101,1,14,5,0.608696,0.237139
102,102,1,24,0,1.000000,0.033877
103,103,2,0,1,0.000000,0.048934
104,104,1,8,7,0.347826,0.297365
105,105,4,19,2,0.826087,0.112923
106,106,3,1,1,0.043478,0.066499
107,107,2,20,2,0.869565,0.109159
108,108,1,2,2,0.086957,0.109159
109,109,1,8,6,0.347826,0.259724
110,110,1,9,9,0.391304,0.387704
111,111,1,21,3,0.913043,0.154329
112,112,1,0,3,0.000000,0.139272
113,113,1,5,4,0.217391,0.184442
114,114,1,2,4,0.086957,0.184442
115,115,1,21,0,0.913043,0.026349
116,116,2,4,3,0.173913,0.143036
117,117,1,10,7,0.434783,0.327478
118,118,2,10,5,0.434783,0.229611
119,119,4,17,3,0.739130,0.144918
120,120,1,10,4,0.434783,0.207026
121,121,1,20,3,0.869565,0.146801
122,122,2,8,5,0.347826,0.233375
123,123,1,4,5,0.173913,0.214555
124,124,1,2,1,0.086957,0.048934
125,125,1,2,13,0.086957,0.545797
126,126,1,12,6,0.521739,0.259724
