hour,trip_seconds
0.913043,0.056462
0.347826,0.109159
0.913043,0.041405
0.478261,0.041405
0.347826,0.033877
0.478261,0.071518
0.826087,0.146801
0.347826,0.018821
0.782609,0.146801
0.869565,0.026349
0.782609,0.094103
0.130435,0.079046
0.695652,0.425345
0.695652,0.116688
0.608696,0.003764
0.695652,0.207026
0.826087,0.207026
0.521739,0.086575
0.782609,0.086575
0.173913,0.146801
0.652174,0.011292
0.913043,0.109159
0.695652,0.274780
0.347826,0.071518
0.304348,0.041405
0.695652,0.056462
0.869565,0.086575
0.826087,0.207026
0.782609,0.169385
0.565217,0.063990
0.826087,0.139272
0.652174,0.094103
0.739130,0.101631
0.347826,0.056462
0.565217,0.116688
0.956522,0.101631
0.521739,0.094103
0.434783,0.455458
0.347826,0.176913
0.608696,0.402760
0.913043,0.297365
0.130435,0.116688
0.173913,0.101631
0.869565,0.056462
0.304348,0.304893
0.391304,0.094103
1.000000,0.056462
0.913043,0.026349
0.521739,0.033877
0.173913,0.048934
0.173913,0.048934
0.652174,0.214555
0.521739,0.048934
0.869565,0.056462
0.695652,0.109159
0.782609,0.176913
0.260870,0.071518
0.652174,0.191970
0.434783,0.071518
0.130435,0.169385
0.739130,0.214555
0.608696,0.048934
0.695652,0.297365
0.521739,0.079046
0.782609,0.237139
0.869565,0.079046
0.695652,0.056462
0.695652,0.094103
0.652174,0.237139
0.173913,0.139272
0.608696,0.304893
0.826087,0.146801
0.434783,0.056462
0.565217,0.304893
0.695652,0.342535
0.956522,0.131744
0.565217,0.154329
0.347826,0.033877
0.347826,0.094103
0.347826,0.116688
0.304348,0.071518
0.782609,0.169385
0.608696,0.139272
0.913043,0.094103
0.826087,0.176913
0.521739,0.176913
0.347826,0.011292
0.347826,0.079046
0.478261,0.109159
0.826087,0.161857
0.913043,0.282309
0.695652,0.033877
0.565217,0.335006
0.304348,0.319950
0.304348,0.071518
0.782609,0.154329
0.130435,0.146801
0.565217,0.478043
0.652174,0.056462
0.826087,0.079046
0.260870,0.214555
0.130435,0.169385
0.478261,0.041405
0.608696,0.048934
0.521739,0.139272
0.956522,0.109159
0.608696,0.026349
0.304348,0.041405
0.173913,0.063990
0.739130,0.176913
0.347826,0.538269
0.739130,0.109159
0.695652,0.026349
0.347826,0.063990
0.391304,0.033877
0.695652,0.139272
0.391304,0.018821
0.869565,0.116688
0.173913,0.071518
0.565217,0.191970
0.869565,0.267252
0.521739,0.048934
0.608696,0.048934
0.347826,0.048934
0.913043,0.131744
0.695652,0.146801
0.869565,0.071518
0.130435,0.124216
0.304348,0.116688
0.913043,0.026349
0.652174,0.041405
0.826087,0.124216
0.521739,0.018821
0.608696,0.252196
0.695652,0.252196
0.695652,0.131744
0.217391,0.079046
0.695652,0.041405
0.608696,0.282309
0.565217,0.048934
0.217391,0.199498
0.652174,0.222083
0.913043,0.026349
0.434783,0.086575
0.304348,0.041405
0.782609,0.184442
0.608696,0.063990
0.173913,0.086575
0.565217,0.101631
0.521739,0.048934
0.782609,0.237139
0.695652,0.274780
0.826087,0.079046
0.826087,0.146801
0.826087,0.018821
0.260870,0.086575
0.565217,0.350063
0.826087,0.199498
0.608696,0.056462
0.173913,0.026349
0.956522,0.184442
0.521739,0.048934
1.000000,0.154329
0.000000,0.176913
0.826087,0.048934
0.608696,0.229611
0.739130,0.033877
0.826087,0.237139
0.913043,0.056462
0.434783,0.048934
0.826087,0.146801
0.434783,0.033877
0.739130,0.199498
0.652174,0.214555
0.434783,0.071518
0.260870,0.101631
0.913043,0.094103
0.652174,0.011292
0.739130,0.056462
0.739130,0.079046
0.304348,0.101631
0.652174,0.176913
0.608696,0.018821
0.521739,0.116688
0.739130,0.199498
0.521739,0.033877
0.608696,0.350063
0.521739,0.116688
1.000000,0.146801
0.043478,0.207026
1.000000,0.131744
0.260870,0.207026
0.173913,0.048934
0.521739,0.086575
0.652174,0.146801
0.695652,0.094103
0.565217,0.342535
0.608696,0.252196
0.478261,0.207026
0.695652,0.079046
0.391304,0.079046
0.739130,0.176913
0.391304,0.244668
0.956522,0.116688
0.347826,0.214555
0.739130,0.131744
0.391304,0.327478
0.478261,0.041405
0.608696,0.222083
0.434783,0.139272
0.434783,0.139272
0.869565,0.079046
0.434783,0.342535
0.347826,0.297365
0.347826,0.048934
0.695652,0.274780
0.826087,0.169385
0.869565,0.033877
0.565217,0.063990
0.913043,0.161857
0.608696,0.056462
0.652174,0.229611
0.826087,0.041405
0.565217,0.184442
0.652174,0.312422
0.304348,0.094103
0.347826,0.086575
0.739130,0.048934
0.869565,0.094103
0.739130,0.207026
0.347826,0.139272
0.739130,0.184442
0.260870,0.033877
0.565217,0.124216
0.217391,0.003764
0.913043,0.018821
0.869565,0.161857
0.043478,0.071518
0.869565,0.033877
0.652174,0.184442
0.434783,0.026349
0.217391,0.026349
0.304348,0.207026
0.260870,0.176913
0.652174,0.026349
0.521739,0.109159
0.565217,0.109159
0.434783,0.063990
0.391304,0.063990
0.782609,0.071518
0.826087,0.086575
0.521739,0.018821
0.695652,0.191970
0.478261,0.101631
0.739130,0.282309
0.434783,0.079046
0.347826,0.071518
0.260870,0.056462
0.652174,0.048934
0.000000,0.146801
0.913043,0.048934
0.739130,0.199498
0.826087,0.079046
0.695652,0.161857
0.826087,0.131744
0.695652,0.184442
0.391304,0.124216
0.391304,0.048934
0.608696,0.244668
0.913043,0.041405
0.217391,0.033877
0.652174,0.154329
0.826087,0.079046
0.565217,0.297365
0.478261,0.079046
0.434783,0.063990
0.652174,0.214555
0.608696,0.252196
0.739130,0.222083
0.652174,0.169385
0.217391,0.063990
0.173913,0.041405
0.869565,0.131744
0.608696,0.244668
0.260870,0.169385
0.695652,0.237139
0.478261,0.086575
0.695652,0.154329
0.782609,0.131744
0.956522,0.033877
0.347826,0.048934
0.347826,0.048934
0.608696,0.214555
0.695652,0.244668
0.565217,0.033877
0.608696,0.063990
0.652174,0.146801
0.434783,0.033877
0.565217,0.222083
