id,Label,Number_Points,Coord-0,Coord-1,hour,trip_seconds
0,0,32,9,2,0.391304,0.102807
1,1,8,8,3,0.347826,0.148683
2,2,6,9,6,0.391304,0.268507
3,3,10,13,8,0.565217,0.354580
4,4,50,4,1,0.173913,0.063839
5,5,70,3,1,0.130435,0.064635
6,6,7,9,9,0.391304,0.396308
7,7,22,18,0,0.782609,0.029429
8,8,33,10,2,0.434783,0.103684
9,9,67,15,1,0.652174,0.061293
10,10,24,2,2,0.086957,0.101004
11,11,1,18,6,0.782609,0.252196
12,12,11,1,0,0.043478,0.025664
13,13,26,6,2,0.260870,0.105974
14,14,58,16,0,0.695652,0.028555
15,15,8,15,6,0.652174,0.276662
16,16,57,11,1,0.478261,0.062801
17,17,42,6,1,0.260870,0.060943
18,18,56,13,0,0.565217,0.030382
19,19,17,6,5,0.260870,0.230054
20,20,7,16,6,0.695652,0.267252
21,21,37,13,2,0.565217,0.101021
22,22,43,5,1,0.217391,0.059613
23,23,19,16,3,0.695652,0.147989
24,24,50,7,1,0.304348,0.064442
25,25,11,17,3,0.739130,0.141325
26,26,64,15,0,0.652174,0.026937
27,27,19,11,3,0.478261,0.146404
28,28,62,11,0,0.478261,0.027320
29,29,14,11,4,0.478261,0.185517
30,30,38,9,0,0.391304,0.028726
31,31,20,7,2,0.304348,0.102760
32,32,65,2,0,0.086957,0.031097
33,33,7,11,5,0.478261,0.225309
34,34,17,7,3,0.304348,0.146358
35,35,28,4,2,0.173913,0.103513
36,36,14,5,4,0.217391,0.189819
37,37,36,17,1,0.739130,0.063363
38,38,55,3,0,0.130435,0.029360
39,39,25,17,2,0.739130,0.100728
40,40,45,17,0,0.739130,0.031702
41,41,66,10,0,0.434783,0.030113
42,42,74,13,1,0.565217,0.062362
43,43,3,18,5,0.782609,0.227102
44,44,50,9,1,0.391304,0.060979
45,45,43,6,0,0.260870,0.029850
46,46,13,12,4,0.521739,0.184442
47,47,11,15,5,0.652174,0.226874
48,48,4,11,11,0.478261,0.478043
49,49,65,14,1,0.608696,0.063527
50,50,20,7,6,0.304348,0.263488
51,51,13,10,6,0.434783,0.275360
52,52,37,5,0,0.217391,0.026145
53,53,57,16,1,0.695652,0.063330
54,54,7,9,4,0.391304,0.184442
55,55,35,14,2,0.608696,0.103567
56,56,5,2,3,0.086957,0.152823
57,57,53,12,1,0.521739,0.065979
58,58,41,16,2,0.695652,0.101631
59,59,5,4,5,0.173913,0.231117
60,60,12,9,8,0.391304,0.360100
61,61,50,8,1,0.347826,0.062785
62,62,15,13,4,0.565217,0.186951
63,63,5,3,5,0.130435,0.225094
64,64,3,14,10,0.608696,0.432873
65,65,7,13,9,0.565217,0.393081
66,66,46,3,2,0.130435,0.100158
67,67,7,11,6,0.478261,0.271554
68,68,12,12,9,0.521739,0.395232
69,69,9,5,5,0.217391,0.227102
70,70,48,8,0,0.347826,0.028545
71,71,26,15,2,0.652174,0.099315
72,72,51,7,0,0.304348,0.029449
73,73,9,13,6,0.565217,0.267252
74,74,8,14,7,0.608696,0.306775
75,75,43,12,0,0.521739,0.030025
76,76,43,11,2,0.478261,0.097955
77,77,13,14,5,0.608696,0.226136
78,78,55,12,2,0.521739,0.103684
79,79,41,4,0,0.173913,0.029838
80,80,64,2,1,0.086957,0.060814
81,81,23,15,4,0.652174,0.187715
82,82,1,3,12,0.130435,0.515684
83,83,56,14,0,0.608696,0.028500
84,84,9,13,7,0.565217,0.309076
85,85,1,16,9,0.695652,0.402760
86,86,14,4,4,0.173913,0.186593
87,87,54,10,1,0.434783,0.062456
88,88,5,17,6,0.739130,0.261230
89,89,9,3,4,0.130435,0.186951
90,90,2,20,2,0.869565,0.109159
91,91,11,16,5,0.695652,0.227558
92,92,9,9,7,0.391304,0.304893
93,93,25,5,2,0.217391,0.103438
94,94,9,10,3,0.434783,0.148473
95,95,19,7,4,0.304348,0.189593
96,96,3,20,0,0.869565,0.038896
97,97,15,8,4,0.347826,0.187955
98,98,24,8,2,0.347826,0.095985
99,99,1,12,15,0.521739,0.651192
100,100,1,12,16,0.521739,0.681305
101,101,13,5,3,0.217391,0.145642
102,102,10,11,9,0.478261,0.394479
103,103,14,6,4,0.260870,0.192508
104,104,6,11,10,0.478261,0.434128
105,105,20,3,3,0.130435,0.145295
106,106,1,7,10,0.304348,0.447930
107,107,2,13,10,0.565217,0.440402
108,108,21,7,5,0.304348,0.232120
109,109,7,9,3,0.391304,0.143574
110,110,2,10,15,0.434783,0.647428
111,111,7,19,1,0.826087,0.065065
112,112,14,17,4,0.739130,0.178527
113,113,15,13,5,0.565217,0.230113
114,114,17,18,1,0.782609,0.061776
115,115,16,15,3,0.652174,0.151506
116,116,6,17,5,0.739130,0.228356
117,117,1,10,12,0.434783,0.538269
118,118,6,19,2,0.826087,0.100376
119,119,3,13,12,0.565217,0.515684
120,120,15,16,4,0.695652,0.190966
121,121,15,8,5,0.347826,0.231619
122,122,6,18,3,0.782609,0.146801
123,123,1,12,13,0.521739,0.568381
124,124,26,13,3,0.565217,0.146511
125,125,2,11,12,0.478261,0.515684
126,126,22,14,3,0.608696,0.149196
127,127,1,12,10,0.521739,0.432873
128,128,1,17,9,0.739130,0.395232
129,129,24,14,4,0.608696,0.187265
130,130,11,14,6,0.608696,0.265883
131,131,1,9,15,0.391304,0.628607
132,132,10,11,7,0.478261,0.313927
133,133,4,19,0,0.826087,0.030113
134,134,1,1,9,0.043478,0.402760
135,135,14,8,6,0.347826,0.263488
136,136,3,7,9,0.304348,0.397742
137,137,7,10,9,0.434783,0.401685
138,138,7,10,4,0.434783,0.186593
139,139,3,9,5,0.391304,0.234630
140,140,5,2,4,0.086957,0.191970
141,141,1,0,0,0.000000,0.041405
142,142,3,6,7,0.260870,0.299875
143,143,7,8,8,0.347826,0.346836
144,144,11,18,2,0.782609,0.105737
145,145,3,9,10,0.391304,0.430364
146,146,13,12,5,0.521739,0.226136
147,147,1,20,4,0.869565,0.176913
148,148,8,3,8,0.130435,0.349122
149,149,3,6,8,0.260870,0.340025
150,150,6,11,8,0.478261,0.353827
151,151,12,4,3,0.173913,0.148683
152,152,1,15,7,0.652174,0.319950
153,153,7,12,8,0.521739,0.352214
154,154,1,24,0,1.000000,0.018821
155,155,25,12,3,0.521739,0.146499
156,156,9,14,8,0.608696,0.346717
157,157,2,17,7,0.739130,0.323714
158,158,13,6,6,0.260870,0.266673
159,159,1,16,8,0.695652,0.342535
160,160,1,22,2,0.956522,0.116688
161,161,1,14,12,0.608696,0.515684
162,162,7,12,6,0.521739,0.275856
163,163,4,2,9,0.086957,0.395232
164,164,3,11,15,0.478261,0.646173
165,165,7,10,8,0.434783,0.351138
166,166,1,15,10,0.652174,0.425345
167,167,2,3,10,0.130435,0.436637
168,168,7,4,6,0.173913,0.268328
169,169,4,19,3,0.826087,0.141154
170,170,5,4,7,0.173913,0.313927
171,171,5,12,7,0.521739,0.315433
172,172,2,12,11,0.521739,0.489335
173,173,2,2,5,0.086957,0.229611
174,174,8,18,4,0.782609,0.178795
175,175,2,11,14,0.478261,0.602258
176,176,5,1,2,0.043478,0.101631
177,177,7,10,7,0.434783,0.321025
178,178,5,7,8,0.304348,0.344040
179,179,3,1,1,0.043478,0.069009
180,180,1,8,17,0.347826,0.749059
181,181,1,9,14,0.391304,0.590966
182,182,1,7,125,0.304348,5.213300
183,183,1,2,10,0.086957,0.432873
184,184,4,10,10,0.434783,0.434755
185,185,3,19,4,0.826087,0.196989
186,186,1,5,9,0.217391,0.380176
187,187,5,10,11,0.434783,0.475031
188,188,5,8,7,0.347826,0.307905
189,189,3,4,8,0.173913,0.347553
190,190,1,10,17,0.434783,0.726474
191,191,1,12,12,0.521739,0.523212
192,192,1,20,1,0.869565,0.063990
193,193,2,2,7,0.086957,0.312422
194,194,1,1,7,0.043478,0.312422
195,195,1,10,13,0.434783,0.575910
196,196,2,22,1,0.956522,0.056462
197,197,2,14,9,0.608696,0.406524
198,198,1,16,13,0.695652,0.545797
199,199,7,6,3,0.260870,0.134970
200,200,2,13,11,0.565217,0.478043
201,201,1,8,10,0.347826,0.417817
202,202,1,22,0,0.956522,0.018821
203,203,2,1,6,0.043478,0.278545
204,204,3,15,8,0.652174,0.340025
205,205,2,5,7,0.217391,0.308657
206,206,1,7,122,0.304348,5.122961
207,207,2,3,6,0.130435,0.282309
208,208,2,20,3,0.869565,0.131744
209,209,2,1,4,0.043478,0.195734
210,210,5,10,5,0.434783,0.228105
211,211,1,6,134,0.260870,5.612296
212,212,1,1,5,0.043478,0.244668
213,213,1,1,3,0.043478,0.146801
214,214,1,17,11,0.739130,0.493099
215,215,2,2,6,0.086957,0.289837
216,216,2,21,1,0.913043,0.056462
217,217,1,14,14,0.608696,0.613551
218,218,2,7,7,0.304348,0.308657
219,219,1,3,7,0.130435,0.297365
220,220,2,2,12,0.086957,0.526976
221,221,1,11,13,0.478261,0.545797
222,222,2,5,6,0.217391,0.255960
223,223,1,4,15,0.173913,0.643664
224,224,1,24,3,1.000000,0.154329
225,225,1,0,2,0.000000,0.109159
226,226,1,5,10,0.217391,0.432873
227,227,1,0,3,0.000000,0.131744
