id,Label,Number_Points,Coord-0,Coord-1,hour,trip_seconds
0,0,3,6,1,0.260870,0.069009
1,1,5,8,0,0.347826,0.026349
2,2,2,6,3,0.260870,0.135508
3,3,10,15,2,0.652174,0.106148
4,4,9,21,1,0.913043,0.055625
5,5,1,0,3,0.000000,0.154329
6,6,5,20,2,0.869565,0.113676
7,7,11,12,1,0.521739,0.061252
8,8,9,11,0,0.478261,0.033041
9,9,6,8,1,0.347826,0.057716
10,10,1,24,4,1.000000,0.176913
11,11,4,10,2,0.434783,0.112923
12,12,10,5,2,0.217391,0.108407
13,13,8,16,2,0.695652,0.098808
14,14,6,9,0,0.391304,0.031368
15,15,15,13,1,0.565217,0.062986
16,16,6,16,0,0.695652,0.031368
17,17,15,13,2,0.565217,0.104141
18,18,1,13,10,0.565217,0.417817
19,19,1,14,7,0.608696,0.327478
20,20,8,13,3,0.565217,0.142095
21,21,7,12,0,0.521739,0.033877
22,22,3,17,2,0.739130,0.096612
23,23,2,7,4,0.304348,0.195734
24,24,1,17,3,0.739130,0.154329
25,25,2,20,3,0.869565,0.150565
26,26,9,7,1,0.304348,0.063990
27,27,10,14,0,0.608696,0.030113
28,28,9,12,2,0.521739,0.106650
29,29,17,15,1,0.652174,0.060890
30,30,3,17,1,0.739130,0.063990
31,31,10,13,0,0.565217,0.033124
32,32,10,14,3,0.608696,0.145295
33,33,6,22,1,0.956522,0.065245
34,34,7,9,1,0.391304,0.060764
35,35,6,21,0,0.913043,0.031368
36,36,1,5,7,0.217391,0.312422
37,37,10,16,1,0.695652,0.059473
38,38,7,15,3,0.652174,0.143574
39,39,10,15,0,0.652174,0.022585
40,40,4,21,2,0.913043,0.111041
41,41,6,22,0,0.956522,0.027604
42,42,9,14,1,0.608696,0.066499
43,43,4,20,1,0.869565,0.058344
44,44,7,11,1,0.478261,0.067216
45,45,1,1,0,0.043478,0.011292
46,46,8,10,1,0.434783,0.066813
47,47,1,8,4,0.347826,0.207026
48,48,8,14,2,0.608696,0.102572
49,49,8,11,2,0.478261,0.101631
50,50,1,4,10,0.173913,0.432873
51,51,1,12,4,0.521739,0.169385
52,52,1,1,4,0.043478,0.199498
53,53,7,24,1,1.000000,0.066141
54,54,2,12,3,0.521739,0.154329
55,55,5,5,1,0.217391,0.062484
56,56,1,20,6,0.869565,0.282309
57,57,1,8,7,0.347826,0.304893
58,58,3,19,2,0.826087,0.094103
59,59,3,7,2,0.304348,0.096612
60,60,4,10,0,0.434783,0.026349
61,61,1,7,3,0.304348,0.139272
62,62,1,14,8,0.608696,0.350063
63,63,2,24,2,1.000000,0.109159
64,64,2,4,4,0.173913,0.188206
65,65,2,11,3,0.478261,0.139272
66,66,1,10,9,0.434783,0.380176
67,67,2,0,0,0.000000,0.022585
68,68,2,16,5,0.695652,0.229611
69,69,6,20,0,0.869565,0.032622
70,70,5,5,0,0.217391,0.029360
71,71,2,4,1,0.173913,0.063990
72,72,9,24,0,1.000000,0.027185
73,73,3,19,0,0.826087,0.033877
74,74,2,15,4,0.652174,0.184442
75,75,5,6,0,0.260870,0.033877
76,76,1,2,0,0.086957,0.011292
77,77,3,17,0,0.739130,0.018821
78,78,1,5,3,0.217391,0.131744
79,79,1,18,2,0.782609,0.086575
80,80,3,14,4,0.608696,0.184442
81,81,2,14,6,0.608696,0.267252
82,82,4,18,0,0.782609,0.024467
83,83,2,2,1,0.086957,0.052698
84,84,1,3,0,0.130435,0.033877
85,85,1,10,6,0.434783,0.267252
86,86,1,9,4,0.391304,0.176913
87,87,1,4,0,0.173913,0.033877
88,88,1,18,3,0.782609,0.154329
89,89,2,9,2,0.391304,0.105395
90,90,1,13,4,0.565217,0.207026
91,91,1,6,4,0.260870,0.169385
92,92,1,12,8,0.521739,0.335006
93,93,2,18,1,0.782609,0.063990
94,94,2,6,2,0.260870,0.094103
95,95,1,16,4,0.695652,0.176913
96,96,1,19,6,0.826087,0.267252
97,97,2,7,0,0.304348,0.037641
98,98,1,5,5,0.217391,0.214555
99,99,2,18,4,0.782609,0.184442
100,100,1,14,5,0.608696,0.244668
101,101,2,4,2,0.173913,0.097867
102,102,1,11,5,0.478261,0.237139
103,103,2,13,5,0.565217,0.218319
104,104,1,21,4,0.913043,0.176913
105,105,1,11,4,0.478261,0.199498
106,106,1,0,1,0.000000,0.079046
107,107,1,10,4,0.434783,0.184442
108,108,4,19,1,0.826087,0.056462
109,109,1,12,7,0.521739,0.327478
110,110,2,19,3,0.826087,0.135508
111,111,2,1,3,0.043478,0.146801
112,112,2,12,6,0.521739,0.278545
113,113,1,21,3,0.913043,0.131744
114,114,2,16,3,0.695652,0.131744
115,115,1,22,2,0.956522,0.116688
116,116,1,4,5,0.173913,0.222083
117,117,1,9,3,0.391304,0.139272
118,118,1,0,4,0.000000,0.191970
119,119,2,13,6,0.565217,0.259724
120,120,1,2,7,0.086957,0.297365
121,121,1,8,2,0.347826,0.124216
122,122,1,0,2,0.000000,0.109159
123,123,1,22,3,0.956522,0.161857
124,124,1,12,9,0.521739,0.402760
125,125,1,20,4,0.869565,0.169385
